Snapshot = 0 .,Track_ID,x,y,z
,24,-578.135408,591.390668,831.227662
,25,-548.1118,596.685881,621.193425
,26,-547.463042,596.406265,656.189401
,27,-546.683363,596.311421,690.659861
,29,-546.383083,596.583344,760.669311
,30,-545.848458,596.471947,795.61624
,31,-545.972116,596.726651,830.857062
,32,-513.349351,602.447066,655.46181
,33,-512.873159,602.512193,690.126624
,34,-512.150081,602.176448,725.037893
,35,-512.059944,602.303064,760.066808
,37,-511.572546,602.434568,829.954391
,38,-479.776757,608.813253,620.592755
,39,-478.748567,608.724019,655.417485
,42,-478.278916,608.820057,760.519782
,43,-477.794809,608.661613,795.132661
,44,-477.236465,608.609789,829.91812
,46,-718.244499,576.317354,693.632326
,47,-683.126628,578.455747,728.088566
,49,-682.125642,578.474882,797.868502
,50,-681.693136,578.46605,832.651016
,51,-562.836815,594.054771,868.210613
Snapshot = 4 .,Track_ID,x,y,z
,1,-685.06925,579.054944,623.665091
,2,-685.11116,579.295068,658.6033
,3,-683.617484,578.686927,693.055763
,4,-649.329769,581.747626,622.92939
,5,-649.879337,582.332104,657.652582
,6,-649.11703,582.276892,692.526303
,7,-648.825138,582.327244,727.722854
,8,-647.836677,581.849108,762.563192
,9,-647.731668,582.10159,797.480571
,10,-646.210053,581.540247,831.728682
,12,-614.89708,586.443336,656.887831
,13,-614.861225,586.804827,691.877586
,14,-614.475184,586.73745,726.943606
,15,-612.809123,585.941454,761.513881
,16,-613.233241,586.539569,796.714265
,17,-612.389948,586.172691,831.373469
,19,-581.203633,592.306642,656.857725
,22,-578.744201,591.140852,761.476277
,23,-578.561289,591.211561,796.432538
,24,-578.138977,591.384002,831.232883
,25,-547.901463,596.477335,621.173984
,26,-547.15207,596.140507,656.128912
,27,-546.567342,596.205162,690.633422
,29,-546.367711,596.567652,760.671866
,30,-545.83964,596.448785,795.606187
,31,-546.072653,596.808581,830.916551
,32,-513.337173,602.422765,655.457255
,33,-513.150123,602.7519,690.207554
,34,-512.062249,602.08838,725.010176
,35,-512.100243,602.345029,760.089637
,37,-511.617552,602.467145,829.980719
,38,-479.560518,608.575157,620.570982
,39,-478.662111,608.632424,655.416541
,42,-478.447233,608.984,760.598935
,43,-477.768758,608.627508,795.127939
,44,-477.179461,608.548634,829.882182
,46,-718.013541,576.172491,693.57928
,47,-683.10677,578.439972,728.086289
,49,-682.069679,578.43925,797.844395
,50,-681.851941,578.556312,832.721615
,51,-562.600497,593.869888,868.110354
,52,-513.836499,602.515137,620.370962
Snapshot = 5 .,Track_ID,x,y,z
,1,-685.524446,579.363056,623.725414
,2,-685.427047,579.486311,658.685008
,3,-683.271102,578.461662,692.992663
,4,-648.870991,581.441265,622.890786
,5,-649.886946,582.322245,657.660248
,6,-648.909261,582.126891,692.491198
,7,-649.364735,582.689401,727.877326
,8,-648.072718,582.093953,762.617071
,9,-647.678677,582.06232,797.48196
,10,-645.702978,581.180395,831.518331
,12,-614.706809,586.296946,656.851782
,13,-615.196804,587.042673,691.958072
,14,-615.158172,587.237027,727.14257
,15,-612.537116,585.740546,761.431674
,16,-613.388574,586.654687,796.783419
,17,-612.312434,586.108591,831.345085
,19,-581.749285,592.730426,656.958874
,22,-578.800399,591.1829,761.522935
,23,-578.582577,591.225975,796.449924
,24,-578.192425,591.424912,831.267932
,25,-547.644829,596.245405,621.144101
,26,-546.910766,595.936266,656.094085
,27,-546.320886,595.986035,690.58793
,29,-546.348867,596.545017,760.667811
,30,-545.698471,596.323585,795.559473
,31,-546.177107,596.904619,831.00248
,32,-513.070485,602.1622,655.418485
,33,-513.580365,603.148356,690.330476
,34,-512.145748,602.148675,725.045781
,35,-512.04603,602.286789,760.097081
,37,-511.690233,602.534717,830.037931
,38,-479.352278,608.356752,620.553262
,39,-478.620229,608.593042,655.398877
,42,-478.652849,609.211626,760.687585
,43,-477.709602,608.562076,795.125384
,44,-477.001313,608.370749,829.790754
,46,-717.785776,576.02724,693.552285
,47,-683.232553,578.518985,728.128615
,49,-681.984445,578.375872,797.817733
,50,-681.922039,578.596666,832.768662
,51,-562.469409,593.741967,868.040755
,52,-513.670613,602.379911,620.402512
Snapshot = 6 .,Track_ID,x,y,z
,1,-685.869912,579.566713,623.770239
,2,-685.643952,579.622481,658.715447
,3,-682.946049,578.255699,692.925287
,4,-648.547021,581.199725,622.880066
,5,-649.56581,582.097619,657.614145
,6,-648.790311,582.041434,692.484477
,8,-648.041473,582.084843,762.656675
,9,-647.64585,582.036796,797.469629
,10,-645.226369,580.86223,831.302704
,12,-614.751329,586.33169,656.861947
,13,-615.439288,587.222057,692.008618
,14,-615.854408,587.754656,727.357476
,15,-612.243725,585.538805,761.342578
,16,-613.516551,586.760224,796.844797
,17,-612.051037,585.904156,831.231827
,19,-582.277454,593.15871,657.064355
,22,-578.929404,591.285603,761.576759
,23,-578.493677,591.144962,796.409153
,24,-578.107052,591.36009,831.225995
,25,-547.421313,596.062049,621.110218
,26,-546.778373,595.822925,656.071589
,27,-546.145696,595.807234,690.522997
,29,-546.36792,596.566291,760.688863
,30,-545.254176,595.927601,795.362675
,31,-546.410023,597.107388,831.117792
,32,-512.94852,602.057691,655.405987
,33,-513.973864,603.513679,690.443289
,34,-512.216569,602.219162,725.07372
,35,-511.987471,602.235493,760.073862
,37,-511.81435,602.654362,830.112585
,38,-479.404838,608.406326,620.557651
,39,-478.550089,608.515556,655.3946
,42,-479.090728,609.636521,760.931153
,43,-477.580222,608.426128,795.05112
,44,-476.763147,608.142013,829.654556
,46,-717.251817,575.705825,693.447137
,47,-683.255355,578.542537,728.141112
,49,-681.82203,578.270947,797.759188
,50,-682.087176,578.698953,832.846481
,51,-562.529912,593.781459,868.067139
,52,-514.059931,602.739235,620.425785
Snapshot = 7 .,Track_ID,x,y,z
,1,-686.238345,579.81203,623.753242
,2,-685.622484,579.61215,658.710336
,3,-682.83543,578.191489,692.90118
,4,-648.434652,581.125461,622.865068
,5,-649.36679,581.962171,657.574707
,6,-648.793838,582.045795,692.473646
,8,-647.866171,581.964504,762.549917
,9,-647.708283,582.090759,797.483293
,10,-644.909398,580.649768,831.159007
,12,-614.756078,586.340244,656.84595
,13,-615.402434,587.196117,691.99812
,14,-616.476935,588.217517,727.526556
,15,-612.157657,585.467623,761.28981
,16,-613.481002,586.731895,796.818746
,17,-611.829882,585.753572,831.115571
,19,-582.622753,593.434716,657.119401
,22,-578.912351,591.274772,761.554318
,23,-578.568705,591.282798,796.452979
,24,-578.004084,591.281326,831.155786
,25,-547.446031,596.088127,621.12116
,26,-546.97781,595.994978,656.103861
,27,-546.143502,595.806178,690.520386
,29,-546.406815,596.598119,760.682642
,30,-544.69554,595.450826,795.087836
,31,-546.611778,597.288633,831.21422
,32,-512.933565,602.046888,655.401654
,33,-514.223819,603.735889,690.490781
,34,-512.267907,602.27493,725.077775
,35,-511.958171,602.20947,760.050033
,37,-512.004329,602.841106,830.2109
,38,-479.609662,608.620732,620.576869
,39,-478.611884,608.57063,655.398766
,42,-479.519817,610.084968,761.130394
,43,-477.437914,608.272572,794.964302
,44,-476.421375,607.804184,829.430319
,46,-716.804897,575.433569,693.363819
,47,-683.321121,578.584724,728.152444
,49,-681.711133,578.203542,797.714196
,50,-682.201461,578.777244,832.884308
,51,-562.710699,593.9569,868.18834
,52,-513.734573,602.428764,620.405178
,54,-648.285235,581.956394,727.58899
