2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
-719.57,-683.7,-648.31,-614.32,-579.37,-546.28,-511.98,-477.9
575.52,577.3,580.24,584.59,589.18,594.77,601.49,608.7
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
-719.59,-683.55,-648.43,-614.35,-579.28,-546.19,-512.04,-477.92
575.47,577.1,580.16,584.31,588.78,594.44,601.18,608.34
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
-719.8,-683.53,-648.53,-614.25,-579.04,-546.27,-511.95,-477.74
575.47,576.93,579.95,583.96,588.34,594.05,600.63,607.72
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
-719.75,-684.1,-648.36,-614.14,-579.23,-546.54,-512.09,-477.91
575.39,576.91,579.66,583.63,588.13,593.77,600.28,607.46
6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
-719.58,-684.04,-648.4,-614.16,-579.15,-546.45,-511.74,-477.83
575.19,576.85,579.51,583.42,587.76,593.56,599.71,607.01
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
-719.07,-683.71,-648.38,-614.25,-579.35,-546.79,-511.85,-478.28
574.8,576.61,579.35,583.28,587.58,593.56,599.49,607.01
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
-719.28,-683.87,-648.36,-614.35,-580.76,-547.34,-512.14,-478.18
574.75,576.26,578.62,582.63,587.79,593.36,599.41,606.55
11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
-719.74,-684.26,-648.12,-614.3,-580.93,-547.35,-512.4,-478.35
574.98,576.41,578.25,582.25,587.64,593.17,599.48,606.66
12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
-719.9,-684.0,-648.31,-614.17,-580.84,-546.72,-512.61,-478.46
575.0,576.24,578.25,582.03,587.28,592.29,599.57,606.73
13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
-719.87,-683.92,-648.44,-614.12,-580.1,-546.57,-512.62,-478.43
574.93,576.08,578.2,581.79,586.53,592.05,599.5,606.75
14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
-720.03,-683.9,-648.73,-614.24,-579.71,-545.93,-512.76,-478.39
575.0,575.97,578.27,581.66,586.09,591.51,599.6,606.8
15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
-720.04,-684.15,-649.36,-614.15,-580.1,-546.03,-512.52,-478.2
574.97,576.03,578.61,581.46,585.94,591.44,599.33,606.5
16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
-720.18,-684.42,-649.53,-614.21,-580.09,-546.01,-512.18,-478.15
575.0,576.04,578.52,581.28,585.7,591.25,598.84,606.51
17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
-719.5,-684.07,-649.56,-614.04,-580.18,-546.08,-511.61,-478.19
574.54,575.81,578.21,580.94,585.48,591.04,598.21,606.35
18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
-719.31,-684.18,-649.43,-613.91,-580.06,-546.03,-511.83,-478.35
574.39,575.83,577.88,580.64,585.09,590.75,598.12,606.27
19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
-719.12,-684.57,-649.43,-613.96,-580.11,-546.23,-511.87,-478.32
574.21,575.82,577.6,580.44,584.87,590.51,597.91,606.05
20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
-719.19,-684.48,-649.26,-614.28,-580.06,-545.96,-511.79,-478.19
574.18,575.64,577.46,580.28,584.6,590.1,597.64,605.86
21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
-719.57,-684.79,-649.35,-614.44,-580.28,-545.8,-511.44,-478.01
