-648.271043	584.692429	657.710516
-614.030514	590.539238	656.924769
-612.218979	590.000779	726.620053
-613.854379	590.294754	622.071322
-681.125516	579.63023	763.029164
-581.49079	598.155811	622.055936
-576.827852	596.084295	796.106985
-512.333631	612.010288	760.275937
-579.552028	597.550003	726.926609
-479.135581	620.294408	690.097796
-611.173334	590.11748	831.292872
-646.245047	584.566813	797.473406
-578.706735	596.654998	691.484935
-514.849553	613.778025	690.796503
-684.028604	580.43889	658.708503
-612.124191	590.520186	796.669995
-649.552007	585.332592	623.184955
-511.291263	611.364155	794.950471
-478.464424	619.965995	725.307789
-647.954183	584.88034	692.679886
-582.471696	599.407419	657.266263
-680.188824	579.112767	797.722028
-717.737507	576.568698	693.922274
-546.329607	603.247533	656.173682
-715.521934	574.688036	623.761574
-478.726585	618.861638	620.585312
-613.999658	590.912254	691.921356
-481.066025	622.844282	761.836823
-612.424359	590.388098	761.812383
-510.582072	610.938009	829.631782
-646.249018	584.016829	727.33098
-476.440539	618.149433	794.337026
-681.101132	579.206556	727.993139
-718.783791	576.796018	659.259126
-512.604805	612.040616	725.381609
-575.822408	595.209813	760.742242
-546.330232	603.979012	690.773841
-577.316861	596.875847	831.113349
-545.267632	603.971125	830.862783
-683.667003	580.037212	623.725414
-545.073597	603.536981	795.523757
-513.080108	611.58542	655.427872
-680.346601	579.565547	832.711561
-646.412628	584.339798	762.369949
-547.806397	604.309203	621.363839
-682.408813	579.737572	693.135138
-546.232361	604.036557	725.852469
-545.567383	603.760913	760.606655
-477.830094	620.013736	830.189682
